ctname,rfgrp,popuni,ctname,stname,STABREV,state_deaths
"Bradley County, AR",27.6,10844,Bradley County,Arkansas,AR,1622.0
"Bradley County, TN",91.99999999999997,104607,Bradley County,Tennessee,TN,2959.0
"Branch County, MI",59.80000000000001,42057,Branch County,Michigan,MI,6581.0
"Brantley County, GA",18.4,18885,Brantley County,Georgia,GA,6746.0
"Braxton County, WV",18.4,13762,Braxton County,West Virginia,WV,352.0
"Brazoria County, TX",239.1999999999998,360883,Brazoria County,Texas,TX,17706.0
"Brazos County, TX",197.79999999999984,213263,Brazos County,Texas,TX,17706.0
"Breathitt County, KY",36.800000000000004,12597,Breathitt County,Kentucky,KY,1492.0
"Breckinridge County, KY",32.2,20178,Breckinridge County,Kentucky,KY,1492.0
"Bremer County, IA",41.400000000000006,23619,Bremer County,Iowa,IA,1638.0
"Brevard County, FL",529.0000000000011,593583,Brevard County,Florida,FL,16059.0
"Brewster County, TX",18.4,9231,Brewster County,Texas,TX,17706.0
"Briscoe County, TX",9.2,1516,Briscoe County,Texas,TX,17706.0
"Bristol Bay Borough, AK",9.2,877,Bristol Bay Borough,Alaska,AK,55.0
"Bristol County, MA",584.2000000000014,555075,Bristol County,Massachusetts,MA,8189.0
"Bristol County, RI",55.20000000000001,46668,Bristol County,Rhode Island,RI,1124.0
"Bristol city, VA",23.0,16330,Bristol city,Virginia,VA,3466.0
"Broadwater County, MT",13.799999999999999,6060,Broadwater County,Montana,MT,252.0
"Bronx County, NY",1563.999999999993,1415296,Bronx County,New York,NY,11847.0
"Brooke County, WV",32.2,21639,Brooke County,West Virginia,WV,352.0
"Brookings County, SD",32.2,31997,Brookings County,South Dakota,SD,376.0
"Brooks County, GA",27.6,15441,Brooks County,Georgia,GA,6746.0
"Brooks County, TX",13.799999999999999,7098,Brooks County,Texas,TX,17706.0
"Broome County, NY",257.5999999999998,184004,Broome County,New York,NY,11847.0
"Broomfield County, CO",87.39999999999998,69195,Broomfield County,Colorado,CO,2094.0
"Broward County, FL",1669.7999999999909,1943873,Broward County,Florida,FL,16059.0
"Brown County, IL",13.799999999999999,4624,Brown County,Illinois,IL,8459.0
"Brown County, IN",23.0,15229,Brown County,Indiana,IN,4116.0
"Brown County, KS",18.4,9584,Brown County,Kansas,KS,962.0
"Brown County, MN",41.400000000000006,24438,Brown County,Minnesota,MN,2289.0
"Brown County, NE",9.2,2973,Brown County,Nebraska,NE,636.0
"Brown County, OH",46.00000000000001,43534,Brown County,Ohio,OH,4890.0
"Brown County, SD",41.400000000000006,38567,Brown County,South Dakota,SD,376.0
"Brown County, TX",59.80000000000001,36937,Brown County,Texas,TX,17706.0
"Brown County, WI",252.99999999999977,258539,Brown County,Wisconsin,WI,1675.0
